Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
De Los Besos Que Te Di,De Los Besos Que Te Di,Christian Nodal,2019-04-15,MXUM71900299,"2,182",30.7,518477840.0,"40,921","13,324,377",71.0,970377956.0,"2,794,007","103,630",7645273.0,"135,032,701","20,695,397",39.0,"9,614",190,18.0,"2,807,120",31.0,"57,510,012","10,935",,"1,164,732",,0
BRODYAGA FUNK,BRODYAGA FUNK - EP,Eternxlkz,2023-11-17,QMFMF2345384,"2,183",30.7,73316998.0,"6,863","23,952,817",75.0,48425342.0,"581,515","300,700",53837087.0,"695,420,301",,2.0,,,,,,,,,"698,469",,0
Private Jet,Mafia Musik,D. Savage,2023-02-17,USUYG1464173,"2,181",30.7,3608717.0,"3,268","109,837",40.0,340092596.0,"5,238,903",442,23970.0,"316,425","1,600,044",,5,,,,,"55,387",,,,,0
DNA.,DAMN.,Kendrick Lamar,2017-04-14,USUM71703079,"2,184",30.7,1157112366.0,"185,660","44,429,618",75.0,356343325.0,"3,573,193","86,503",11663427.0,"97,997,064","165,019,302",191.0,340,63,45.0,"179,785",34.0,"318,401,958","128,722",,"2,244,068",,0
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",Ty Dolla $ign,2014-06-10,USAT21401391,"2,197",30.6,949312501.0,"152,498","28,278,237",74.0,858285365.0,"5,419,110","8,535",11730568.0,"70,600,246","148,190,236",30.0,482,,7.0,"4,123",8.0,"568,114,702","286,287",,"2,633,407",,0
Baklava,Baklava - Single,Gya,2024-04-15,ROGRA2400294,"2,189",30.6,5633595.0,418,"286,571",61.0,38890559.0,"213,288",,,,"30,591,117",2.0,,,1.0,"128,640",,,,,"50,894",,0
bye,eternal sunshine,Ariana Grande,2024-03-08,USUM72317269,"2,194",30.6,127408697.0,"6,270","16,012,094",,14508851.0,"207,049",,,,"53,107,845",13.0,"1,455",83,9.0,"205,444",12.0,"633,253",684,"544,407","89,167",,0
BIZCOCHITO,Find Your Line: Official Music from GRAN TURISMO 7,ROSALï¿½,2022-03-04,USSM12109223,"2,192",30.6,222910969.0,"42,182","10,406,462",61.0,69332188.0,"971,738","1,874,811",1019396452.0,"11,257,489,400","20,397,038",34.0,"10,985","2,464",23.0,"134,321",28.0,"3,718,270","2,356",,"1,284,746",,0
Veggie Dance,Veggie Dance,Gracie's Corner,2024-04-05,QZHNA2455146,"2,187",30.6,2279039.0,222,"58,855",55.0,43379343.0,"332,023",,21260608.0,"161,578,600",,1.0,,,,,6.0,"251,021","2,748",,"33,195",,0
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding,2015-02-01,GBUM71406823,"2,193",30.6,1532983094.0,"116,546","49,188,494",70.0,48109240.0,"469,999","452,925",63198736.0,"732,908,886",,216.0,"206,669",,107.0,"702,636",78.0,"631,056,114","443,298",,"19,968,269",,0
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,USQX91902507,"2,185",30.6,666107710.0,"127,503","40,134,293",71.0,234005957.0,"3,231,466","1,536,372",544725899.0,"5,185,694,852","4,405,061",71.0,"1,195",23,27.0,"224,993",9.0,"3,326,824","15,554",,"4,161,911",,0
Sittin' On Top Of The World,Sittin' On Top Of The World - Single,Burna Boy,2023-06-01,USAT22305462,"2,196",30.6,44751795.0,"23,415","3,622,192",55.0,21737557.0,"277,948","98,682",8807279.0,"114,732,862","60,598,905",44.0,"113,508",855,11.0,"118,980",29.0,"6,837,176",740,,"343,757",,0
Si Fuera Fï¿½ï¿,Si Fuera Fï¿½ï¿½cil - Si,Grupo Marca Registrada,2022-05-27,USDXS2201491,"2,195",30.6,285183501.0,"28,319","13,770,276",65.0,322857747.0,"1,566,688","60,681",10855957.0,"125,822,489",,6.0,29,,2.0,"194,190",3.0,"26,370,349","3,167",,"411,987",,0
Broke In A Minute,Broke In A Minute,Tory Lanez,2020-02-07,USUM72002126,"2,186",30.6,407015049.0,"116,527","22,947,586",70.0,44157454.0,"665,741","20,568",9087023.0,"59,673,227","13,257,357",30.0,"1,450",,32.0,"120,194",6.0,"3,729,253","8,435","46,033,727","712,141",,0
Mahiya Ve Gal Sun Mahiya Vey,Mahiya Ve Gal Sun Mahiya Vey - Single,Nimra Mehra,2023-09-29,DGA0M2361023,"2,190",30.6,209649.0,70,513,,,,"1,300,000",3450332.0,"65,658,454",,,,,,,,,,,,,0
Engana Dizendo Que Ama,Dos Prï¿½ï¿½dios De,Veigh,2023-05-19,QZMWW2396003,"2,188",30.6,142474379.0,"25,470","5,055,407",67.0,144774313.0,"822,345",,,,,8.0,,,8.0,"328,165",16.0,,,,"153,295",,0
In Case You Didn't Know,Brett Young EP,Brett Young,2016-01-01,QM3E21606006,"2,198",30.6,560774282.0,"62,305","14,198,815",68.0,861165099.0,"4,288,539","397,413",18838824.0,"216,533,242","545,706,587",38.0,"80,904",36,5.0,"8,037",45.0,"489,345,110","250,819","2,365,008","3,920,740",,0
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,2023-03-22,UYB282301033,"2,191",30.6,146680564.0,"28,883","9,546,255",62.0,154916805.0,"3,043,720",820,136267.0,"1,816,865","1,778,092",8.0,"8,273",14,13.0,"115,418",5.0,"904,756",,"590,512","199,628",,0
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcï¿½ï¿½,2016-09-30,TCACS1630643,"2,199",30.5,462055272.0,"54,302","17,847,539",71.0,1546120738.0,"7,974,135","360,400",75766885.0,"648,582,782","563,886,727",11.0,566,,7.0,"23,122",3.0,"52,143,549","25,408",,"1,569,987",,0
HVN ON EARTH (with Kodak Black),HVN ON EARTH,Lil Tecca,2023-08-18,USUM72311878,"2,201",30.5,114669893.0,"39,763","21,760,033",60.0,7212572.0,"84,826","16,900",3459451.0,"25,286,791",,2.0,"2,043",10,3.0,"36,550",,"1,616,178",826,,"250,753",,0
Gently (feat. Bad Bunny),For All The Dogs,Drake,2023-10-06,USUG12306084,"2,204",30.5,123630149.0,"25,645","5,218,214",,18057785.0,"239,269","32,270",12450697.0,"100,624,699",407,19.0,"5,021",340,7.0,"140,361",8.0,"6,544,882","1,899",,"761,861",,0
It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,SEBGA1700015,"2,205",30.5,1430439855.0,"150,179","55,438,878",71.0,308045364.0,"2,768,168","279,393",12505319.0,"81,779,367","129,321,931",210.0,"91,638",217,110.0,"752,307",40.0,"252,544,876","97,039","1,855,783","13,603,866",,0
Baarish Ban Jaana,Baarish Ban Jaana,Payal Dev,2021-06-03,INUM72100032,"2,202",30.5,70622319.0,"4,554","1,202,197",57.0,764803929.0,"5,521,315",492,4395.0,"27,723","1,955,607",3.0,35,,,,,396,,,"162,219",,0
I CAN'T STOP ME,Eyes Wide Open,TWICE,2020-10-26,US5TA2000134,"2,200",30.5,384886220.0,"32,051","9,361,355",65.0,681682229.0,"7,966,863","243,659",94368004.0,"666,762,692","63,358,966",31.0,"2,821",9,8.0,"56,015",7.0,"2,318,090","3,023","2,087,158","643,653",,0
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,2019-09-06,USUM71915731,"2,203",30.5,622690472.0,"108,263","18,637,177",69.0,261237045.0,"2,753,871","5,525",1874937.0,"17,207,972","10,067,736",36.0,"11,662",2,10.0,"120,387",24.0,"262,889,554","96,599",,"2,184,126",,0
Filhaal2 Mohabbat,Filhaal2 Mohabbat,B Praak,2021-07-06,INUM72100040,"2,206",30.5,72348363.0,"6,300","1,979,759",57.0,717290683.0,"6,865,430","181,300",5507080.0,"90,316,836","1,919,497",5.0,247,,,,2.0,"7,696",,,"209,262",,0
8am in Charlotte,For All The Dogs,Drake,2023-10-06,USUG12306082,"2,207",30.5,81093233.0,"34,004","4,164,888",,4234309.0,"51,965","17,500",1977355.0,"17,415,834",,7.0,401,1,3.0,"135,946",,"391,257",932,,"385,268",,0
Vivir Mi Vida,3,Marc Anthony,2013-07-23,USSD11300112,"2,210",30.4,618671056.0,"78,822","28,465,181",71.0,1398550208.0,"4,470,299","722,663",24693560.0,"302,300,755","263,879,004",112.0,119,253,46.0,"685,724",56.0,"381,672,102","384,522",,"4,858,889",,0
Lullaby - BadWolf Remix,Lullaby (BadWolf Remix),TR-MEET,2023-03-24,DEEE72301691,"2,213",30.4,18204.0,113,"5,777",10.0,327499400.0,"256,952",,,,,,1,,,,,,,,964,,0
Love Not War (The Tampa Beat),Love Not War (The Tampa Beat) [Remixes] (feat. Jason Derulo),Jason Derulo,2020-11-19,GBARL2001440,"2,212",30.4,286179073.0,"51,888","9,569,404",59.0,239078390.0,"1,790,062","465,640",46773428.0,"444,068,106","225,346,751",99.0,"274,839",,28.0,"344,794",1.0,"2,735,151","2,045",,"4,522,347",,0
WHERE SHE GOES,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QM6P42352188,"2,208",30.4,717849037.0,"11,199","4,402,776",,,,,,,,16.0,13,,,,,"22,701,001","8,039",,,,0
"Lose Yourself - From ""8 Mile"" Soundtrack",8 Mile,Eminem,2002-10-29,USIR10211559,"2,222",30.4,2194935773.0,"345,119","97,808,878",75.0,1360758976.0,"9,892,246","69,588",1476678.0,"20,114,190","339,086,425",252.0,"166,938",,127.0,"3,101,373",75.0,"804,134,471","703,535",,"10,419,522",,0
My Oh My,My Oh My,Ava Max,2024-04-04,USAT22401759,"2,216",30.4,20012688.0,"2,365","37,158,651",1.0,7298437.0,"149,857",,,,"56,157,311",51.0,"22,793",21,21.0,"7,073,401",67.0,"2,730,227",323,"116,573","142,814",,0
Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Reneï¿½ï¿½ ,2023-12-15,USUM72318541,"2,221",30.4,81494626.0,"8,973","20,213,928",,101469.0,"1,338",,,,,23.0,"74,984",137,39.0,"3,444,021",24.0,"2,269,915",942,,,,0
willow,evermore,Taylor Swift,2020-12-10,USUG12004699,"2,217",30.4,844790027.0,"67,136","50,350,718",72.0,189534686.0,"2,729,881","65,010",20896955.0,"212,587,391","139,953,667",167.0,"150,385",131,29.0,"412,109",77.0,"80,383,509","30,416",,"1,987,676",,0
100 MESSAGGI,100 MESSAGGI,Lazza,2024-02-27,ITUM72400349,"2,219",30.4,69972816.0,"5,282","6,183,983",73.0,30283430.0,"232,134",,,,"59,168,102",13.0,"11,835",,3.0,"3,785,899",25.0,"1,861",2,,,,0
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,2021-08-13,UK4ZF2100518,"2,218",30.4,509445605.0,"105,947","68,408,965",68.0,21324881.0,"168,696","2,521",849518.0,"16,050,371",,124.0,"105,328",307,72.0,"1,755,222",37.0,"5,977,100","1,482",,"3,151,561",,0
Cï¿½ï¿½,VICE VERSA,Rauw Alejandro,2021-06-25,USSD12100296,"2,215",30.4,596905923.0,"83,179","20,128,974",76.0,132634826.0,"1,011,336","803,336",177757652.0,"1,408,309,850","12,050,206",72.0,"17,091",181,18.0,"238,540",25.0,"18,530,463","2,252",,"1,086,469",,0
Whatï¿½ï¿½ï¿½,Scary Hours 2,Drake,2021-03-05,USUG12101041,"2,220",30.4,383261731.0,"94,964","21,697,781",62.0,84527592.0,"1,340,886","60,864",41730155.0,"320,457,752","112,914,243",62.0,"40,515",377,27.0,"428,254",26.0,"55,798,346","49,620","14,432,922",,,0
Turn On The Lights again.. (feat. Future),USB,Fred again..,2022-01-17,GBAHS2201001,"2,214",30.4,190872805.0,"102,679","49,713,000",61.0,4804721.0,"64,070","89,852",35100872.0,"435,794,732",,44.0,"18,922",1,16.0,"491,915",26.0,"520,655",501,"6,101,751","1,617,989",,0
Despï¿½ï¿½dase ,"Boca Chueca, Vol. 1",Carin Leon,2024-06-01,USA2P2432330,"2,211",30.4,10557337.0,393,"42,329,224",72.0,4595134.0,"65,231",,,,"2,297,932",9.0,36,,6.0,"642,021",17.0,"949,464",155,"1,167","110,707",,0
"Mommy, Mommy Give Me Yummy","Mommy, Mommy Give Me Yummy",D Billions,2021-04-20,AEA0Q2102685,"2,209",30.4,,49,"4,311",21.0,833736978.0,"1,346,347",262,14670.0,"1,175,444",,,,,,,,,,,"7,925",,0
Illegal Weapon,Illegal Weapon,Garry Sandhu,2017-09-25,FRX201706358,"2,224",30.3,67999897.0,"12,496","2,290,221",57.0,665109271.0,"3,531,340","6,938,800",41338088.0,"594,821,828","34,439,336",12.0,744,,1.0,118,3.0,"2,142,970","1,187",,"335,509",,0
Starships,Crave Volume 7,Nicki Minaj,2012-01-01,USCM51200060,"2,225",30.3,1125407888.0,"189,848","71,457,898",73.0,565850053.0,"3,904,912","356,199",37119709.0,"275,858,975","177,791,254",149.0,"115,729",206,53.0,"984,604",28.0,"393,300,354","774,097",,"10,373,004",,0
Calidad,Calidad,Grupo Firme,2022-07-12,QZDQH2257609,"2,238",30.3,308915484.0,"18,763","9,876,263",54.0,272892088.0,"834,521","479,753",21899443.0,"364,940,104",,6.0,"6,556",,1.0,"4,392",,,,"592,654","972,534",,0
Watch Me,This Is A Challenge,Silento,2016-12-16,USAT21603705,"2,223",30.3,387389363.0,20,"1,347",,2020132561.0,"11,334,330",,,,"176,675,712",,,1,,,,,,,,,0
Send My Love (To Your New Lover),25,Adele,2015-11-20,GBBKS1500215,"2,234",30.3,1064599051.0,"89,443","24,441,546",66.0,997993764.0,"6,246,988","66,520",38824727.0,"261,382,201","1,677,484,200",116.0,"19,122",108,37.0,"295,349",18.0,"420,137,717","93,772",,"8,268,701",,0
Chakalitos,Chakalitos,Angi Fire,2023-07-22,USMH92305308,"2,229",30.3,14137400.0,"1,570","171,193",10.0,221422238.0,"1,754,240",,71.0,"1,172","4,356,346",,267,,,,,,,,"154,184",,0
No Hay Nadie Mï¿½,No Hay Nadie Mï¿½,Sebastian Yatra,2018-01-26,USUM71713890,"2,239",30.3,546219103.0,"43,372","12,705,005",69.0,1289314157.0,"6,163,163","274,799",25654892.0,"222,363,120","223,743,334",21.0,"13,300",102,31.0,"123,304",18.0,"18,098,372","4,619",,"24,199",,0
Rather Be (feat. Jess Glynne),I Cry When I Laugh,Clean Bandit,2013-01-01,GBAHS1300498,"2,236",30.3,1327093253.0,"188,363","58,299,660",70.0,875568512.0,"5,009,883","1,072,310",146302323.0,"1,196,196,511","528,574,920",250.0,"121,439",214,162.0,"968,778",78.0,"62,386,418","110,843","2,123,648","25,620,314",,0
Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),Witt Lowry,2018-06-08,USAT21802013,"2,232",30.3,390529605.0,"68,181","10,506,568",67.0,388438653.0,"6,747,169","4,480,319",1314071004.0,"15,189,209,474","133,226,735",17.0,"8,016",12,7.0,"9,478",4.0,"910,295","3,769",,"9,200,822",,0
Ramenez la coupe ï¿½ï¿½ la ma,Ramenez la coupe ï¿½ï¿½ la ma,Vegedream,2018-07-17,UKGD81800015,"2,233",30.3,482859077.0,"154,354","9,307,449",62.0,550746505.0,"4,627,573","671,494",224089888.0,"3,084,440,795","3,048,497",58.0,"4,483",,30.0,"460,193",6.0,"260,981","1,078",,"4,684,186",,0
1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,2022-07-29,QZAPK2000271,"2,237",30.3,189588270.0,"43,837","2,663,499",72.0,87680985.0,"700,043",190,31952.0,"432,059","4,870,198",,2,,,,,"6,559,431","3,552","14,217,001","240,381",,0
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,2020-07-27,QZK6Q2049800,"2,230",30.3,289085486.0,"76,485","8,876,090",62.0,247178404.0,"3,983,154","1,939,369",289578955.0,"2,184,568,318","86,473,112",4.0,10,,,,2.0,"3,362,791","11,273","264,657","4,423,775",,0
Baby Songs,Baby Lullaby - Relaxing Piano Baby Lullabies Baby Songs and Nursery Rhymes for Baby Sleep and Newborn Natural Sleep Aid,Baby Lullaby,2014-10-23,USA2P1472414,"2,227",30.3,5484513.0,36,"9,217",27.0,897454562.0,"2,811,983",2,6990.0,"35,885",,,,,,,,,,,,,0
Mï¿½ï¿½dchen auf dem P,Mï¿½ï¿½dchen auf dem P,Luca-Dante Spadafora,2023-05-12,CH7812350872,"2,226",30.3,119141939.0,"46,323","14,389,973",67.0,23993631.0,"167,659",58,89658.0,"1,318,558","103,548,221",21.0,"2,297",,15.0,"212,114",13.0,,,"2,223,239","409,234",,0
Cuando Te Besï¿,Cuando Te Besï¿,Becky G,2018-08-02,USSD11800274,"2,240",30.3,588021470.0,"51,865","15,227,639",63.0,1114556086.0,"5,855,578","118,917",6274016.0,"58,539,891","114,202,446",20.0,"7,464",36,24.0,"221,478",18.0,"19,883,459","7,852",,"1,621,041",,0
"Lutt Putt Gaya (From ""Dunki"")","Lutt Putt Gaya (From ""Dunki"")",Pritam,2023-11-22,INS182303353,"2,228",30.3,54461319.0,"3,298","5,676,613",,122509013.0,"1,256,731",,,,"506,287,027",5.0,770,,,,13.0,,,,"121,292",,0
girl$,girl$,Dom Dolla,2024-06-07,USQX92401650,"2,235",30.3,1920905.0,945,"44,490,548",,78608.0,"3,629",,,,,33.0,276,2,22.0,"987,568",39.0,"32,222",31,"89,193","12,191",,0
Clout (feat. Cardi B),FATHER OF 4,Offset,2019-02-22,USUG11802308,"2,231",30.3,306221125.0,"61,432","15,468,892",58.0,635706453.0,"4,888,312","126,257",15711039.0,"90,607,937","272,146,133",50.0,"15,637",102,24.0,"194,800",12.0,"76,691,389","37,017","25,647,174","2,066,390",,0
I love you,I love you,Dadju,2023-12-08,FR8FB2328300,"2,247",30.2,70592513.0,"10,432","9,086,026",63.0,30034889.0,"219,547",,,,"236,171,714",25.0,"25,849",,25.0,"16,463,650",24.0,"1,984",7,,"1,203,361",,0
Loucura,Amor e ï¿½ï¿,Borges,2023-12-12,BCM9A2300102,"2,248",30.2,79782529.0,"10,849","8,194,521",,70231783.0,"491,126",,,,"462,163,988",9.0,5,,18.0,"5,792,984",16.0,,,,,,0
Forget About Us,Forget About Us,Perrie,2024-04-12,GBARL2400078,"2,245",30.2,16171953.0,"1,439","18,871,474",,6223280.0,"200,833","9,253",,,"143,422,306",40.0,"24,806",,38.0,"2,359,911",41.0,"330,318",,"102,129","107,402",,0
One Last Time,My Everything,Ariana Grande,2014-08-21,USUM71409723,"2,243",30.2,1465918510.0,"110,953","65,876,311",77.0,1101895606.0,"9,106,812","74,689",39669684.0,"285,511,671","484,923,295",102.0,"83,891",118,43.0,"356,866",13.0,"263,174,203","96,346","11,323,498","5,273,745",,0
Malas Decisiones,K23,Kenia OS,2022-10-27,MXF012200331,"2,246",30.2,249199925.0,"15,573","11,736,236",68.0,141829637.0,"1,346,158","1,093,900",310175951.0,"3,326,289,021","35,896,326",21.0,"7,079",479,15.0,"100,850",4.0,"167,084",654,,"576,456",,0
Dos Mil 16,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214889,"2,249",30.2,426904285.0,"50,219","17,690,466",71.0,198252709.0,"1,323,047","241,013",89404506.0,"679,567,159","20,200,537",15.0,355,,4.0,"120,297",9.0,"10,610,635","1,775",,"629,164",,0
La Vaca Lola,Las 20 Mejores Canciones Infantiles,Toy Cantando,2013-06-10,COA3C1500662,"2,250",30.2,38260236.0,"3,255","310,554",55.0,2809354638.0,"7,825,584","22,366",1533921.0,"72,165,422",,,8,,,,,,,,"4,506",,0
Termina Comigo Antes,Termina Comigo Antes,Gusttavo Lima,2022-03-31,BXBAL2200001,"2,241",30.2,194919563.0,"12,885","13,054,030",63.0,459414543.0,"1,879,854","60,675",4714394.0,"61,427,214","3,136,649,155",19.0,"9,315",,62.0,"1,085,113",4.0,"17,963",,,"134,484",,0
Baarish,Baarish,Payal Dev,2020-08-11,INUM72000050,"2,244",30.2,12208412.0,"1,424","362,321",41.0,135529803.0,"1,794,516","5,941,101",17311643.0,"278,475,456",,1.0,5,,,,,,,,"37,064",,0
ZITTI E BUONI,ZITTI E BUONI,Mï¿½ï¿½ne,2021-03-03,ITB002100112,"2,242",30.2,475549122.0,"94,637","9,975,524",69.0,259762159.0,"2,895,468","139,573",75858814.0,"628,509,922","21,047,789",62.0,"17,041",,28.0,"566,398",42.0,"543,933","1,020",,"2,395,559",,0
Dijeron Que No La Iba Lograr,Dijeron Que No La Iba a Lograr,Chino Pacas,2023-03-14,USA2P2313930,"2,254",30.1,241174958.0,"23,146","7,025,185",43.0,146033306.0,"697,531",,,,54,9.0,36,11,1.0,72,2.0,"29,986,425","2,582",,"522,273",,0
Is It Love,Is It Love,Loreen,2023-10-13,SEUM72301218,"2,252",30.1,68785555.0,"7,360","8,210,301",,16708048.0,"243,108","187,211",1802595.0,"63,753,450","999,638,074",26.0,"74,905",,31.0,"12,315,494",4.0,"34,080",36,,"677,013",,0
Feel It Still,Feel It Still,Portugal. The Man,2017-03-02,USAT21700437,"2,263",30.1,1303452422.0,"204,110","65,716,191",74.0,563059238.0,"5,008,418","77,757",60080391.0,"447,512,595","13,369,387",87.0,"96,294","1,230",219.0,"2,003,306",81.0,,,,,,0
Portobello Beach,Passport,Quiet as a Mouse,2022-10-21,GBMJG2221437,"2,255",30.1,,,,,453903004.0,"1,010,270",,,,,,2,,,,,,,,1,,0
MotorSport,MotorSport,Migos,2017-10-27,USUM71712002,"2,262",30.1,590983645.0,"89,159","24,300,466",62.0,744579257.0,"4,504,144","266,811",63415889.0,"417,482,479","187,758,140",109.0,"19,462",27,23.0,"169,108",23.0,"243,221,290","135,099",,"3,894,893",,0
Bad At Love,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,USUM71702220,"2,265",30.1,635393773.0,"56,371","12,074,505",59.0,575220523.0,"4,408,507","487,927",11620804.0,"84,632,348","111,825,857",60.0,"135,173",522,11.0,"31,796",46.0,"420,836,751","208,908",,"4,213,886",,0
Nevada,Nevada,YoungBoy Never Broke Again,2021-01-30,USAT22103399,"2,251",30.1,163974630.0,"60,031","4,503,801",64.0,109858521.0,"915,546","20,233",5083710.0,"48,854,928","122,293,460",23.0,264,2,2.0,"55,679",,"44,161,281","27,622","38,396,480",,,0
The Adults Are Talking,The New Abnormal,The Strokes,2020-04-10,USRC11902726,"2,264",30.1,457933102.0,"152,115","30,405,327",76.0,161335622.0,"1,716,915","186,563",88889806.0,"521,061,584","65,074",29.0,"24,933",,28.0,"129,502",21.0,"10,975,089","6,534",,"1,670,342",,0
Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),Churrasquinho do Menos ï¿½ï¿½ Mais (Ao V,Grupo Menos ï¿½ï¿½ ,2020-04-23,USDY42060410,"2,260",30.1,270944683.0,"6,608","2,522,207",,996737706.0,"4,480,282",66,6369.0,"102,989","63,527,580",,,,7.0,"22,899",,,,,,,0
Hips Don't Lie (feat. Wyclef Jean),Oral Fixation Vol. 2,Shakira,2005-01-01,USSM10600677,"2,257",30.1,1631152967.0,"261,693","142,426,948",80.0,1663636127.0,"9,345,192","2,393,712",306451930.0,"2,939,466,349","1,850,350,995",261.0,"163,862",434,147.0,"3,150,258",84.0,"387,267,940","346,439",,"6,770,784",,0
Overdose,Overdose - Single,natori,2022-09-07,JPU902203154,"2,259",30.1,191425175.0,"26,630","3,407,532",62.0,271219300.0,"2,855,968","183,701",53658710.0,"662,260,750","19,820,354",21.0,244,,,,,,,,"367,613",,0
Techno Cumbia (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402911,"2,256",30.1,50962805.0,12,"74,974",,,,,,,,2.0,,,,,1.0,"33,951,456","27,028",,,,0
Tak Segampang Itu,Tak Segampang Itu,Anggi Marito,2022-12-02,IDUM72200281,"2,253",30.1,415357981.0,"14,918","7,489,575",74.0,201860884.0,"912,928","399,388",88921840.0,"1,171,868,533",418,8.0,"4,463",,1.0,"2,405",,,,,"127,265",,0
Emotionally Scarred,My Turn,Lil Baby,2020-02-28,USUG12000034,"2,261",30.1,289652584.0,"93,481","10,151,445",63.0,310518713.0,"1,797,173","33,861",6143414.0,"40,742,074","10,809,869",35.0,"82,296",123,3.0,"30,366",14.0,"158,335,863","49,964",,"2,007,348",,0
When It Rains It Pours,This One's for You,Luke Combs,2017-06-02,QZ4751600015,"2,258",30.1,807802864.0,"93,613","23,160,480",78.0,576510087.0,"2,093,903","29,070",5193789.0,"42,065,642","675,794,766",55.0,"118,955",49,11.0,"29,415",24.0,"327,355,246","125,734","1,542,691","1,719,362",,0
If I Didn't Love You,If I Didn't Love You,Jason Aldean,2021-07-23,QMRSZ2101546,"2,268",30.0,143447350.0,"22,233","3,205,615",60.0,95029099.0,"693,003","2,017",1558730.0,"15,893,357","591,874,403",2.0,"295,116",83,2.0,"39,829",,"205,296,427","27,410",,"991,870",,0
NO ME QUIERO CASAR,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364196,"2,269",30.0,144801283.0,"20,979","16,117,371",73.0,33000813.0,"284,943","1,380",750523.0,"7,437,994","37,948,816",18.0,"8,135",,4.0,"321,307",16.0,"4,129,629","1,305",,"538,315",,0
UNHEALTHY (feat. Shania Twain),UNHEALTHY (feat. Shania Twain),Anne-Marie,2023-05-18,GBAHS2300345,"2,274",30.0,107435709.0,"18,457","6,727,123",60.0,18349123.0,"218,523","7,316",5194441.0,"79,827,003","183,272,059",52.0,"133,743",,22.0,"287,345",21.0,"350,335",118,"689,846","1,025,913",,0
ATORRANTE - con Los Palmeras,ATORRANTE - con Los Palmeras,Emanero,2023-07-05,ARP7V2300023,"2,280",30.0,65617109.0,"7,487","3,295,468",61.0,189591521.0,"578,345",291,711415.0,"33,073,512","215,348,129",1.0,"4,559",,4.0,"252,063",11.0,,,,"101,460",,0
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",CAN YOU IMAGINE?,Elevation Worship,2023-05-19,USPJT2300015,"2,284",30.0,79621215.0,"31,102","3,889,566",70.0,87320948.0,"873,405",,,,"191,016,370",20.0,673,2,11.0,"246,651",18.0,"4,474,215","10,838",,"567,381",,0
greedy,greedy - Single,Tate McRae,2023-09-15,USRC12301975,"2,281",30.0,1256101755.0,"3,984","2,453,761",,,,,,,,109.0,,,,,8.0,,,,,,0
El Mejor,El Mejor,Chayï¿½ï¿½n R,2023-10-27,TCAHK2398379,"2,282",30.0,7178040.0,"1,181","235,460",,9465691.0,"61,294","970,300",21282649.0,"470,202,643",,,,,,,,,,,"156,906",,0
Take Me to Church,Take Me to Church EP,Hozier,2013-09-13,USSM11307291,"2,276",30.0,2544489950.0,"113,315","30,950,638",74.0,184351951.0,"1,963,267","7,069",172614084.0,"1,691,376,898","3,808,342",142.0,"2,168",,18.0,"17,163",30.0,"602,652,861","1,112,724",,,,0
Roses,Roses,The Chainsmokers,2015-06-16,USQX91500801,"2,270",30.0,1046848265.0,"137,023","33,124,854",68.0,585020723.0,"3,442,407","273,486",55726548.0,"405,625,969","51,232,888",129.0,"30,641",87,43.0,"173,923",16.0,"294,611,058","172,101","26,571,481","9,203,307",,0
